藥品代碼,商品名稱,藥品學名,藥品中文名,ATC_CODE1,藥品分類代碼說明,DC藥預設替代藥,盤點分類,衛署適應症,商品名
TOF02O,Tofranil 25mg Tab,IMIPRAMINE HCL,妥富腦(濁紅橙圓凸形)錠劑,N06AA02,口服藥,,口服,憂鬱病、夜尿,TOFRANIL
TON01O,Tonsaric 100mg Tab,ALLOPURINOL,痛酸立克(白色圓凸形)錠劑,M04AA01,口服藥,,口服,痛風症、痛風性關節炎、尿酸結石、癌症或經化學治療產生之高尿酸血症。,TONSARIC
TON03O,Tonvasca 2/10mg Cap,"EZETIMIBE,PITAVASTATIN",同抑脂(白色長橢圓形)膠囊,C10BA13,口服藥,,口服,原發性高膽固醇血症及混合型血脂異常。,TONVASCA
TOP02E,Topsym Cream 10gm Tube,FLUOCINONIDE,妥膚淨乳膏,D07AC08,外用預設一份,,外用,急性濕疹、慢性濕疹、乳、小兒濕疹、脂漏性濕疹、貨幣狀濕疹、接觸性皮膚炎、異位性皮膚炎、尋常性乾癬、圓形脫毛症、尋常性白斑、掌蹠膿?症、癢疹類（蕁麻疹樣苔癬、粟粒疹或小丘疹、固定蕁麻疹）,TOPSYM
TOP06O,Topamax 50mg Tab,TOPIRAMATE,妥泰(淺黃色圓扁形)膜衣錠,N03AX11,口服藥,,口服,用於成人及二歲以上兒童局部癲癇或併有LENNOX-GASTAUT症候群之癲癇及原發性全身性強直陣攣癲癇的輔助治療，用於PARTIAL ONSET SEIZURE病患之單一藥物治療、預防偏頭痛。,TOPAMAX
TOP07E,Topsym Lotion 5mg/10ml,FLUOCINONIDE,妥膚淨,D07AC08,外用預設一份,,外用,濕疹、皮膚炎（進行性指掌角皮症、女性顏面黑皮症、慢性單純苔癬、放射線皮膚炎、日光皮膚炎）癢疹（蕁麻疹樣苔癬、嬰兒苔癬、固定蕁麻疹）乾癬、掌蹠性膿?症、圓形脫毛症、尋常性白斑,TOPSYM
TOR01E,Toricam Gel 40gm Tube,PIROXICAM,完疲,M02AA07,外用預設一份,,外用,類風濕性關節炎、骨關節炎（關節痛、退化性關節炎）、僵直性脊椎炎、急性肌肉骨骼損傷和急性痛風、肌肉痛、外傷後之腫脹及疼痛,TORICAM
TOT01E,Totifen Oph Soln 1.25mg/5ml Bot,KETOTIFEN,多蒂芬眼藥水,S01GX08,外用預設一份,,外用,暫時預防因過敏性結膜炎引起之眼睛癢。,TOTIFEN
TOU01I,Toujeo SoloStar 450iu/1.5ml#,INSULIN GLARGINE,糖德仕注射劑,A10AE04,注射藥,,冰箱(針劑),成人及6歲以上兒童及青少年之糖尿病。,TOUJEO
TRA01O,Trajenta FC 5mg Tab#,LINAGLIPTIN,糖漸平膜衣(淺紅色圓凸型)錠,A10BH05,口服藥,,口服,第二型糖尿病。,TRAJENTA
