藥品代碼,商品名稱,藥品學名,藥品中文名,ATC_CODE1,藥品分類代碼說明,DC藥預設替代藥,盤點分類,衛署適應症,商品名
CIN02O,Cinolone 250mg Tab,CIPROFLOXACIN,信諾隆(白色圓凸形)膜衣錠,J01MA02,口服藥,,口服,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。成人和小孩：吸入性 ...後略，請點選【藥品仿單】分頁查閱,CINOLONE
CIN03O,Cinaca 25mg Tab,CINACALCET HYDROCHLORIDE,鈣易清(藍綠色圓形)膜衣錠,H05BX01,口服藥,,口服,治療透析患者的次發性副甲狀腺機能亢進。,CINACA
CIN04O,Cintsu SC 40mg Tab,VERAPAMIL,心舒(黃色圓形)糖衣錠,C08DA01,口服藥,IsoMIL(Verapamil) 40mg Tab,口服,狹心症,CINTSU
CIT01O,Citao-S FC 10mg Tab,ESCITALOPRAM OXALATE,替你憂-S(白色橢圓形)膜衣錠,N06AB10,口服藥,,口服,鬱症之治療及預防復發，恐慌症、社交焦慮症、泛焦慮症及強迫症之治療。,CITAO-S
CIV01E,Cividoid Gel 20gm,HEPARINOID,喜美凝膠,C05BA01,外用預設一份,,外用,鈍物創傷後之血腫，淺層性靜脈炎之局部治療。,CIVIDOID
CLA01I,Claforan IV Inj 2gm Vial,CEFOTAXIME SODIUM,可活能注射劑2公克,J01DD01,注射藥,,針劑,對下列疾病具感受性細菌之感染：下呼吸道感染、泌尿器官感染、生殖器官感染、敗血症、皮膚感染、腹腔感染、骨骼關節炎症、中樞神經系統感染。,CLAFORAN
CLA04O,Claricin 250mg Tab#,CLARITHROMYCIN,特立適膜衣錠(黃色長圓柱形)250毫克,J01FA09,口服藥,,口服,上、下呼吸道有感受性細菌所引起之感染症。可與ＯＭＥＰＲＡＺＯＬＥ併用治療與幽門螺旋桿菌（Ｈ.ＰＹＬＯＲＩ）有關之十二指腸潰瘍。,CLARICIN
CLI02I,Clincin Inj. 300mg/2ml Amp,CLINDAMYCIN,克力欣注射液,J01FF01,注射藥,,針劑,由厭氣菌、鏈球菌、葡萄球菌、肺炎雙球菌等具有感染性菌株所引起之感染症,CLINCIN
CLI03I,CLINIMIX N17G35E 1500mL BAG,"AMINO ACIDS,GLUCOSE,ELECTROLYTES",克里密絲輸注液（N17G35E）,B05BB02,全靜脈營養製劑,,TPN,用於非經腸道營養，當腸無法吸收或吸收不良，經判斷為不可經腸道營養時使用。,CLINIMIX
CLI04I,Clinimix N9G15E 1500mL Bag,"AMINO ACIDS,GLUCOSE,ELECTROLYTES",克里密絲輸注液（N9G15E）,B05BB02,全靜脈營養製劑,,TPN,用於非經腸道營養，當腸無法吸收或吸收不良，經判斷為不可經腸道營養時使用。,CLINIMIX
CLO01S,Clodrin Oral Soln 3g/30mL Bot,CHLORAL HYDRATE,可律靜內服液劑,N05CC01,外用預設一份,,外用,兒童檢查(non-painful procedure)前之鎮靜,CLODRIN
CLO02E,Clobetasol Oint 3.5mg/7gm,CLOBETASOL PROPIONATE,可立舒軟膏,D07AD01,外用預設一份,,外用,溼疹、皮膚炎（指掌角皮症、苔癬、日光皮膚炎）癢疹、掌蹠膿?症、乾癬,CLOBETASOL
CLO03E,Clomazole 500mg Vag Tab,CLOTRIMAZOLE,克黴樂陰道錠500毫克,G01AF02,外用藥,Clotrimazole 500mg Vag Tab Panbiotic,外用,由黴菌（多數念珠球菌毛滴蟲屬）所引起之白帶、陰道炎。,CLOMAZOLE
CLO03O,Clopine 25mg Tab#,CLOZAPINE,克慮平(淡黃圓扁形)錠25毫克,N05AH02,口服藥,,口服,其他藥物治療失效的思覺失調症病患。降低思覺失調症或情感性分裂症的復發性自殺行為。帕金森氏症期間的精神疾病。,CLOPINE
CLO04E,Clobex Shampoo 125ml Bot,CLOBETASOL PROPIONATE,柔倍絲藥用頭皮洗劑,D07AD01,外用預設一份,,外用,局部性治療成人之中度頭皮乾癬。,CLOBEX
CLO05O,Clomiphene 50mg Tab PeiLi,CLOMIPHEN,樂孕(白色圓扁形)錠,G03GB02,口服藥,,口服,促進排卵,CLOMIPHENE
CLO07E,Clotrimazole 500mg Vag Tab Panbiotic,CLOTRIMAZOLE,克催瑪汝陰道錠,G01AF02,外用藥,,外用,由黴菌（數念珠球菌毛滴蟲屬）所引起之白帶、陰道炎,CLOTRIMAZOLE
COD01E,Codemycin Eye Oint 3.5gm,"Hydrocortisone acetate,Neomycin Sulfate",康體邁新眼藥膏,S01CA03,外用預設一份,,外用,結合膜炎、瞼緣炎、角膜潰瘍、角膜炎、虹膜炎、虹膜睫狀體炎,CODEMYCIN
COD01O,Codeine 30mg Tab #2,CODEINE,可待因(白色圓扁形)錠劑,R05DA04,成隱性麻醉藥,,管2,鎮咳、鎮痛,CODEINE
COF01O,Cofarin 1mg Tab,WARFARIN,可化凝(粉紅色圓扁形)錠,B01AA03,口服藥,,口服,靜脈栓塞症。,COFARIN
COL01O,Colchicine 0.5mg Tab#,COLCHICINE,可樂喜定(淡青圓扁形)錠劑,M04AC01,口服藥,,口服,痛風,COLCHICINE
COL02I,Colimycin 2MU Vial,COLISTIN METHANESULFONATE,克痢黴素注射劑,J01XB01,注射藥,,針劑,限用於一般抗生素無效，且具多重抗藥性之革蘭氏陰性菌之嚴重感染。,COLIMYCIN
COL04E,Colasa Enema 4gm/100mL Bot,MESALAZINE,阿腸克浣腸劑,A07EC02,外用藥,,外用,潰瘍性結腸炎、輕度到中度之直腸炎及直腸乙狀結腸炎。,COLASA
COM02E,Combivent UDV Inh Soln 2.5ml Amp#,"IPRATROPIUM,SALBUTAMOL",冠喘衛單一劑量吸入液,R03AL02,外用藥,,外用,用於治療阻塞性呼吸道疾病併發的可逆性支氣管痙攣，需要一種以上支氣管擴張劑治療者。,COMBIVENT
COM03E,Combigan Eye Drops 5ml Bot,"BRIMONIDINE TARTRATE,TIMOLOL",康皕庚眼用液劑,S01ED51,外用預設一份,,外用,適用於慢性隅角開放性青光眼及慢性隅角閉鎖性青光眼合併已接受為暢通的周邊虹膜切除術或高眼壓病人，當以上病患使用單方降眼壓製劑控制效果不佳時，本品可作為降眼壓之用。,COMBIGAN
COM05O,Compesolon 5mg Tab,PREDNISOLONE,康速龍(白色圓形)錠,H02AB06,口服藥,,口服,風濕性關節炎、風濕熱、骨關節炎、風濕性脊椎炎、氣喘、過敏性疾病,COMPESOLON
CON01O,Conslife Sugar Coated Tab,"BISACODYL,DIOCTYL SODIUM,SENNOSIDE",秘福(淺青圓凸形)糖衣錠,A06AB02,口服藥,,口服,便秘及綏和便秘所伴生之下列諸症狀：腹部膨滿、腸內異常發酵、食慾不振,CONSLIFE
CON06O,CONCOR 5mg Tab,BISOPROLOL FUMARATE,康肯(米黃色心形)錠劑,C07AB07,口服藥,,口服,高血壓，狹心症，穩定型慢性中度至重度（NYHA class III、IV）心衰竭。,CONCOR
CON07O,Concerta ER 18mg Tab #3,METHYLPHENIDATE,專思達(黃色長圓柱形)長效錠18毫克,N06BA04,管三非麻醉藥,,管3,治療6 歲（含）以上及65 歲（含）以下患有注意力不足過動症之兒童、青少年及成人病患。,CONCERTA
CON08O,Concor 1.25mg Tab,BISOPROLOL FUMARATE,康肯(白色圓扁形)錠劑,C07AB07,口服藥,,口服,穩定型慢性中度至重度心衰竭。,CONCOR
CON09O,CONCERTA ER 27MG TAB #3,METHYLPHENIDATE,專思達(灰色長圓柱形)長效錠27毫克,N06BA04,管三非麻醉藥,,管3,治療6 歲（含）以上及65 歲（含）以下患有注意力不足過動症之兒童、青少年及成人病患。,CONCERTA
CON10O,Const-K ER 750mg (10mEq) Tab,POTASSIUM CHLORIDE,舒補鉀(黃色膠囊型)持續性藥效錠,A12BA01,口服藥,,口服,缺鉀狀態。,CONST-K
CON11O,CONCERTA ER 36MG TAB #3,METHYLPHENIDATE,專思達(白色長圓柱形)長效錠,N06BA04,管三非麻醉藥,,管3,治療6 歲（含）以上及65 歲（含）以下患有注意力不足過動症之兒童、青少年及成人病患。,CONCERTA
CON12O,Convulex 300mg Cap,SODIUM VALPROATE,康癲能軟膠囊,N03AG01,口服藥,,口服,癲癇之大發作、小發作、混合型及顳葉癲癇。躁症或急性躁期之躁鬱症之治療。偏頭痛之預防。,CONVULEX
CON13O,Contrave ER 8/90mg Tab,"BUPROPION HCL,NALTREXONE HCL",康纖芙(藍色圓凸形)持續性釋放錠,A08AA62,口服藥,,口服,用於體重控制，做為低熱量飲食及增加體能活動外之輔助療法，適用對象為成人病人且初始身體質量指數(BMI)為： ●≧30 Kg/m2，或 ●≧27 Kg/m2至<30 Kg/m2，且病人至少有一項體重相關共病症，例如第二型糖尿病、血脂異常或已獲控制之高血壓。,CONTRAVE
COP02I,Copaxone 40mg/1ml Syringe,GLATIRAMER ACETATE,柯珮鬆注射液,L03AX13,注射藥,,冰箱(針劑),用於復發型多發性硬化症，以減少復發型多發性硬化症病人的復發頻率。,COPAXONE
COR01O,Cortisone Acetate 25mg Tab,CORTISONE ACETATE,乙酸可體松錠(白色圓凸型)25毫克,H02AB10,口服藥,,口服,風濕性關節炎、急性風濕熱、過敏性病、炎症性眼病、皮膚病、贅生性疾病及阿迪生氏病。,CORTISONE
COR02O,Coralan FC 5mg Tab#,Ivabradine,康立來(淺橙色橢圓形)膜衣錠,C01EB17,口服藥,,口服,治療慢性心衰竭：Ivabradine適用於治療紐約心臟協會(NYHA)分級第II到IV級、收縮性功能不全、竇性心律且每分鐘心跳速率 ? 75的慢性心衰竭患者，可與標準療法併用(應含最大可耐受劑量之β-阻斷劑)，或用於對β-阻斷劑為禁忌症時。,CORALAN
COR03O,Cortiment MMX PR 9mg Tab,BUDESONIDE,可帝敏(白色雙凸圓形)持續性釋放錠,A07EA06,口服藥,,口服,用於誘發緩解成人輕度至中度活動性潰瘍性結腸炎,CORTIMENT
COR05I,Cordarone 150mg/3ml Amp,AMIODARONE HCL,臟得樂,C01BD01,注射藥,,針劑,短期使用治療心室纖維顫動、WOLFF-PARKINSON-WHITE氏症候群、上室性及心室性心搏過速、心房撲動心房纖維顫動。用於對電擊具抗性的心室纖維顫動相關之心跳停止時所進行的心肺腹甦術。,CORDARONE
COR05O,Cordarone 200mg Tab,AMIODARONE HCL,臟得樂(白色圓扁形)錠劑,C01BD01,口服藥,,口服,ＷＯＬＦＦ－ＰＡＲＫＩＮＳＯＮ－ＷＨＩＴＥ氏症候群、上室性及心室性心搏過速、心房撲動、心房纖維顫動、心室纖維顫動,CORDARONE
COS02E,Cosopt Oph Soln 5ml Bot#,"DORZOLAMIDE,TIMOLOL",康舒目點眼液劑,S01ED51,外用預設一份,,外用,高眼壓症、開放性青光眼、假性剝離性青光眼所造成之眼內壓升高。,COSOPT
COS02I,Cosentyx SC 150mg/mL Syringe,SECUKINUMAB,可善挺注射液劑,L04AC10,個案藥,,冰箱(針劑),1.斑塊性乾癬：適用於治療適合接受全身性治療的中至重度斑塊性乾癬6歲以上病人。2.乾癬性關節炎：適用於治療患有活動性乾癬性關節炎的成人病人。可單獨使用或與methotrexate併用。3.中軸性脊椎關節炎(Axial spondylo ...後略，請點選【藥品仿單】分頁查閱,COSENTYX
COU12S,Cough Mixture 120ml#,PLATYCODON FLUIDEXTRACT,複方去痰,R05FA02,口服分裝藥,,外用,鎮咳、袪痰,COUGH
COV01I,Covorin Injection 50mg/5ml Amp,FOLINIC ACID,克廢喦注射液,V03AF03,注射藥,,冰箱(針劑),葉酸拮抗劑 (如Methotrexate)過量之解毒劑。,COVORIN
COW01O,Cowbalin 100mg Tab,MEBENDAZOLE,疳福(橘色橢圓形)錠,P02CA01,口服藥,,口服,驅除鞭蟲、蛔蟲、蟯蟲及鉤蟲。,COWBALIN
CRA01E,Cravit Oph Soln 25mg/5ml Bot#,LEVOFLOXACIN,可樂必妥眼藥水,S01AE05,外用預設一份,,外用,外眼部細菌性感染症。,CRAVIT
CRA02O,Cravit 500mg Tab#,LEVOFLOXACIN,可樂必妥(淡粉橘長圓柱形)膜衣錠,J01MA12,口服藥,,口服,治療成人因對Levofloxacin有感受性的致病菌所引起之下列感染：急性鼻竇炎、慢性支氣管炎的急性惡化、社區性肺炎、複雜性泌尿道感染(包括：腎盂腎炎)、慢性細菌性前列腺炎、皮膚和軟組織感染。,CRAVIT
CRA03I,Cravit 500mg/100ml Vial#,LEVOFLOXACIN,可樂必妥靜脈輸液,J01MA12,注射藥,,針劑,治療成人因對levofloxacin有感受性的致病菌所引起之下列感染：社區性肺炎、複雜性尿道感染(包括:腎盂腎炎)、慢性細菌性前列腺炎、皮膚和軟組織感染。,CRAVIT
CRE01I,Cresemba 200mg Vial,Isavuconazonium sulfate,驅黴霸200毫克注射劑,J02AC05,個案藥,,冰箱(針劑),"(1)侵犯性麴菌症(invasive aspergillosis) (2)使用於不適合接受amphotericin B的病人治療白黴菌病(mucormycosis)
",CRESEMBA
CRE01O,Crestor 10mg Tab#,ROSUVASTATIN,冠脂妥(淡紅圓扁形)膜衣錠,C10AA07,口服藥,,口服,高膽固醇血症、高三酸甘油酯血症。,CRESTOR
CRE02O,Cretrol 10/20mg Tab#,"EZETIMIBE,ROSUVASTATIN",脂瑞妥(白色圓扁形)錠,C10BA06,口服藥,,口服,原發性高膽固醇血症,CRETROL
CRE03O,Cresemba 100mg Cap,Isavuconazonium sulfate,驅黴霸100毫克膠囊,J02AC05,個案藥,,口服,(1)侵犯性麴菌症(invasive aspergillosis) (2)使用於不適合接受amphotericin B的病人治療白黴菌病(mucormycosis),CRESEMBA
CUB01I,Cubicin 500mg Vial,DAPTOMYCIN,救必辛注射劑,J01XX09,注射藥,,冰箱(針劑),1. 治療成人及兒童（1至17歲）病人因下列感受性革蘭氏陽性菌引起的複雜性皮膚和皮膚組織感染 (cSSSI)：Staphylococcus aureus（包括methicillin-resistant isolates）、Streptococcus pyogenes、Streptococcus agala ...後略，請點選【藥品仿單】分頁查閱,CUBICIN
CUR01O,Curam FC 1g Tab#,AMOXICILLIN+CLAVULANATE,諾快寧(白色橢圓形)膜衣錠,J01CR02,口服藥,,口服,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症。,CURAM
CYA01I,Cyanocobalamin (Vit.B12) 1mg/1ml Amp#,CYANOCOBALAMIN,氰鈷胺明注射液,B03BA01,注射藥,,針劑,惡性貧血症、出血性貧血、具有神經合併症之惡性貧血、巨紅血球性貧血、巨胚紅血球性貧血、維他命Ｂ１２缺乏症,CYANOCOBALAMIN
CYM01I,Cymevene 500mg Vial#,GANCICLOVIR,西美芬,J05AB06,注射藥,,針劑,用於治療免疫功能缺乏之巨細胞病毒感染症。,CYMEVENE
CYP01S,Cypromin Soln 0.4mg/ml;120ml#,CYPROHEPTADINE HCL,希普利敏液,R06AX02,口服分裝藥,,外用,皮膚疾患引起之搔癢（濕疹、皮膚炎、皮膚搔癢症、藥物過敏反應）枯草熱、蕁麻疹、過敏性鼻炎、血管運動性鼻炎、感冒支氣管炎引起之咳嗽、鼻涕。,CYPROMIN
CYT01I,Cytotect CP Biotest 50ml/Bot,"HUMAN IMMUNOGLOBULIN, CYTOMEGALOVIRUS AN",施多特,J06BB09,注射藥,,冰箱(針劑),移植或用免疫抑制劑治療時預防巨細胞病毒之感染,CYTOTECT
CYT02O,Cytotec  200mcg Tab#,MISOPROSTOL,喜克潰(白色六邊形)錠劑,A02BB01,口服藥,,口服,胃及十二指腸潰瘍,CYTOTEC
DAF01O,Daflon FC 1gm Tab,"DIOSMIN,HESPERIDIN",達促朗(淺橙色橢圓形)膜衣錠,C05CA03,口服藥,,口服,1. 改善慢性靜脈功能不全相關症狀。2. 改善急性痔瘡發作相關症狀。,DAFLON
DAI01E,Daivonex Oint 0.005% 30gm#,CALCIPOTRIOL,得膚寧,D05AX02,外用預設一份,,外用,尋常性牛皮癬。,DAIVONEX
DAI03E,Daivobet Oint 30gm Tube#,"CALCIPOTRIOL,BETAMETHASONE",得膚寶軟膏劑,D05AX52,外用預設一份,,外用,尋常性牛皮癬。,DAIVOBET
DAL01O,Dalmadorm 15mg Cap #4,FLURAZEPAM HCL,當眠多(淺灰/淺黃長圓柱形)膠囊,N05CD01,管四非麻醉藥,,管4,失眠。,DALMADORM
DAM01O,Dampurine 25mg Tab,BETHANECHOL CHLORIDE,舒解(淡黃圓扁形)錠,N07AB02,口服藥,,口服,手術後、產後之非阻塞性儲留，神經性膀胱緊張力減低及尿儲留。,DAMPURINE
DAY01O,Dayvigo 5mg Tab,LEMBOREXANT,達衛眠(淡黃色圓凸形)錠,N05CM21,口服藥,,口服,失眠症。,DAYVIGO
DEF02I,Deferoxamine 500mg Vial,DEFEROXAMINE METHANE SULPHONATE,,V03AC01,注射藥,,針劑,,DEFEROXAMINE
DEH01O,Dehypotin Protect 40mg Tab,PRAVASTATIN,安樂脂(淡黃色長橢圓形)錠,C10AA03,口服藥,,口服,1.高血脂症:對於原發性高膽固醇血症及合併高膽固醇血症與高三酸甘油脂血症之病人，在使用低脂低膽固醇及低卡路里食物療法與其他非藥物療法(如運動)後，仍不能充份降低膽固醇之情況下，可並用MEVALOTIN 以降低血中升高 ...後略，請點選【藥品仿單】分頁查閱,DEHYPOTIN
DEL03O,Delcopan SR 60mg Tab,DEXTROMETHORPHAN HBR,抑咳平持續性(粉紅扁長圓柱形)膜衣錠,R05DA09,口服藥,,口服,鎮咳。,DELCOPAN
DEM01I,Demerol 50mg/1ml Amp(Pethidine) #2,PETHIDINE,鹽酸配西酊,N02AB02,成隱性麻醉藥,,管2,鎮痛,DEMEROL
DEP01I,Depakine 400mg Vial#,SODIUM VALPROATE,帝拔癲凍晶注射劑,N03AG01,注射藥,,針劑,無法以口服途徑控制之癲癇。,DEPAKINE
DEP01O,Depakine 200mg Tab,SODIUM VALPROATE,帝拔癲(白色圓凸形)錠劑,N03AG01,口服藥,,口服,泛發性與局部癲癇症、兒童抽搐或兒童熱性抽搐、行為失常並伴有癲癇症者,DEPAKINE
DEP02O,Depakine Chrono 500mg Tab,SODIUM VALPROATE,帝拔癲(白色長圓柱形)錠劑,N03AG01,口服藥,,口服,癲癇之大發作、小發作、混合型及顳葉癲癇，躁病。,DEPAKINE
DEP03O,Depyretin 500mg Tab,ACETAMINOPHEN,得百利寧(淡黃色橢圓形)錠,N02BE01,口服藥,,口服,退燒、止痛(緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛),DEPYRETIN
DEP04S,Depakine Soln 8gm/40ml Bot,SODIUM VALPROATE,帝拔癲液,N03AG01,口服分裝藥,,外用,癲癇之大發作、小發作混合血型及顳葉癲癇,DEPAKINE
DER03E,Derma Cream 4% 7gm Tube,HYDROQUINONE,寶爾潔白袪斑霜,D11AX11,外用預設一份,,外用,黑斑、雀斑。,DERMA
DES03I,Desferrioxamine 500mg Vial,DEFEROXAMINE METHANE SULPHONATE,,V03AC01,鎖檔,Deferoxamine 500mg Vial,針劑,,DESFERRIOXAMINE
DET02O,DETRUSITOL SR 4mg Cap,TOLTERODINE L-TARTRATE,得舒妥持續性藥效(藍色)膠囊4公絲,G04BD07,口服藥,,口服,治療伴有急尿、頻尿或急迫性尿失禁症狀的膀胱過動症。,DETRUSITOL
DEV01E,Devirus Oph Oint 3% 4.5gm,ACYCLOVIR,力克眼用軟膏,S01AD03,外用預設一份,,外用,單純?疹性角膜炎。,DEVIRUS
DEX01O,Dex-CTM 2mg Tab,DEXCHLORPHENIRAMINE MALEATE,特息敏(粉紅色圓扁形)錠,R06AB02,口服藥,,口服,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,DEX-CTM
DEX02I,Dexamethasone 5mg/1ml Amp,DEXAMETHASONE,力克爽,H02AB02,注射藥,,針劑,內分泌疾患、風濕性疾患、膠原組織疾患、皮膚病、過敏性疾患、眼科疾患、呼吸系統疾患、血液病腫瘤性疾患,DEXAMETHASONE
DEX03I,Dextrose 10% 500mL Bag Otsuka,GLUCOSE,滴舒樂注射液,B05BA03,注射藥,,針劑,手術或其他疾患之水分及營養的補給,DEXTROSE
DEX03O,Dexamethasone 0.5mg Tab,DEXAMETHASONE,特體松(淡黃色五邊形)片,H02AB02,口服藥,,口服,風濕性疾患、過敏性疾患,DEXAMETHASONE
DIA01O,Diapin 2mg Tab#4,DIAZEPAM,當立平(白色圓扁形)錠,N05BA01,管四非麻醉藥,,管4,焦慮狀態、失眠、肌肉痙攣,DIAPIN
DIA03O,Diane-35 21tab/Box,"CYPROTERONE 2MG,ETHINYLESTRADIOL 0.035MG",黛麗安(淡黃圓形)錠劑,G03HB01,口服預設一份,,口服,用於生育年齡婦女治療中度至重度且對雄性素敏感(不論有/無皮脂溢出)的痤瘡和/或多毛症，或限於前述情形之避孕用。用於痤瘡的治療，應於局部治療或全身抗生素治療失敗時才可使用。本品也是一種荷爾蒙避孕藥，該品雖具 ...後略，請點選【藥品仿單】分頁查閱,DIANE-35
DIA04I,Diagnogreen Inj 25mg Vial,INDOCYANINE GREEN,循血綠,V04,注射藥,,針劑,肝臟、循環機能診斷用藥,DIAGNOGREEN
DIA04O,Diamicron MR 30mg Tab,GLICLAZIDE,岱蜜克龍(白色扁長圓柱形)持續性藥效錠,A10BB09,口服藥,,口服,經飲食及體重控制後無法達到理想效果之成人非胰島素依賴型糖尿病(TYPE II).,DIAMICRON
DIF01E,Difflam Forte Spray 3.0mg/ml; 15ml,BENZYDAMINE HCL,得伏寧加強消炎噴液劑3.0毫克/毫升,A01AD02,外用預設一份,,外用,舒解口腔及咽喉疼痛，包括下列疾病或症狀引起的疼痛：扁桃腺炎、喉嚨痛、放射治療引起的黏膜炎、鵝口瘡潰瘍、口腔與牙周手術後疼痛,DIFFLAM
DIF01I,Diflucan 100mg/50ml Vial#,FLUCONAZOLE,泰復肯,J02AC01,注射藥,,針劑,抗黴菌劑,DIFLUCAN
DIF02E,Differin Gel 0.1% 15g Tube,ADAPALENE,痘膚潤,D10AD03,外用預設一份,,外用,治療尋常性痤瘡。,DIFFERIN
DIF02O,Dificid 200mg Tab#,FIDAXOMICIN,鼎腹欣(灰白色膠囊狀)膜衣錠,A07AA12,口服藥,,口服,困難梭狀桿菌相關腹瀉(C. difficile-associated diarrhoea， CDAD),DIFICID
DIL01O,Dilantin 100mg Cap,PHENYTOIN,癲能停(鮮紅橙/白色長圓柱形)膠囊,N03AB02,口服藥,,口服,大發作及局部發作型癲癇，預防及治療神經外科手術所引起之癲癇發作。,DILANTIN
DIM04O,Dimotil Repe Tab,"PANCREATIN,METOCLOPRAMIDE",立消樂(白色圓凸形)錠,A03FA01,口服藥,,口服,消化器機能異常(噁心、嘔吐、腹部膨滿感)。,DIMOTIL
DIO01O,Diovan FC 160mg Tab,VALSARTAN,得安穩膜衣錠(橘灰色橢圓形)160公絲,C09CA03,口服藥,,口服,治療成人和6-18 歲的兒童或青少年高血壓、心衰竭(NYHA 二到四級)、心肌梗塞後左心室功能異常。,DIOVAN
DIP02O,Dipyridamole S.C. 25mg Tab,DIPYRIDAMOLE,所雷帝(橘紅色圓凸形)糖衣錠,B01AC07,口服藥,,口服,對於慢性狹心症之治療可能有效。,DIPYRIDAMOLE
DIP03O,Diphenidol 25mg Tab,DIPHENIDOL,敵芬尼朵(淡粉紅圓凸形)錠劑,N07CA,口服藥,,口服,內耳障礙引起之眩暈（包括血管障礙及頭頸部外傷後遺症之眩暈）、（美尼攸氏）症候群,DIPHENIDOL
DIP06I,Dipeptiven for IV 100ml Bot,"L-ALANINE,L-GLUTAMINE",雙胜?靜脈輸注液,A16AA03,注射藥,,針劑,做為一般非經腸道營養須額外補充麩胺(GLUTAMINE)的病人(如異化過度或新陳代謝過度之病人)氨基酸溶液之補充品。,DIPEPTIVEN
DIP08I,Diphereline PR 3.75mg/2ml Vial,TRIPTORELIN,達菲林長效注射劑3.75毫克,L02AE04,注射藥預設一份,,針劑,攝護腺癌之輔助療法、子宮內膜異位症、子宮肌瘤切除手術前縮減子宮肌瘤體積之輔助治療、性早熟之治療、女性不孕症在體外受精及胚胎植入﹝IVF-ET﹞之輔助治療、停經前早期乳癌。,DIPHERELINE
DIP09I,Diphenhydramine 30mg/1mL Amp TaiYu,DIPHENHYDRAMINE HCL,鹽酸二苯胺明注射液,R06AA02,注射藥,,針劑,過敏性疾患、蕁麻疹、皮膚炎、溼疹,DIPHENHYDRAMINE
DIQ01E,Diquas Oph soln 5ml Bot,Diquafosol Sodium,滴舒適點眼液,S01XA,外用預設一份,,外用,治療乾性角結膜炎病人之角膜以及結膜上皮損傷,DIQUAS
DIT01O,Ditropan 5mg Tab,OXYBUTYNIN CHLORIDE,達多幫(淡藍長圓柱形)錠劑,G04BD04,鎖檔,,口服,因膀胱神經之控制不適所伴隨排尿諸症之緩解,DITROPAN
DIV01E,Divigel 0.1% GEL 1gm/pack#,ESTRADIOL,迪維舒 凝膠,G03CA03,外用藥,,外用,女性由於自然停經或手術引起之女性荷爾蒙缺乏症狀的荷爾蒙替代療法-更年期的熱潮紅或生理不適、無法分泌女性荷爾蒙而引起的各種不適。,DIVIGEL
DON02O,Donepezil OD 5mg Tab Mylan,DONEPEZIL,多憶安(白色圓扁形)口腔崩散錠,N06DA02,口服藥,,口服,阿茲海默症。,DONEPEZIL
DOP01O,Dopadine 100mg Tab,Amantadine Sulfate,多巴定(橘色圓扁形)膜衣錠,N04BB01,口服藥,,口服,巴金森病、預防及治療Ａ型流行性感冒症狀。,DOPADINE
DOP02I,Dopamin 200mg/5ml Amp,DOPAMINE HCL,得保命注射液,C01CA04,注射藥,,針劑,休克症候群及心臟衰竭,DOPAMIN
DOR01I,Dormicum 15mg/3ml Amp #4,MIDAZOLAM,導眠靜,N05CD08,管四非麻醉藥,,管4,知覺鎮靜、急救加護病房鎮靜、麻醉誘導及維持、手術前給藥,DORMICUM
DOR03O,Dormicum FC 7.5mg Tab #4,MIDAZOLAM,導美睡(白色橢圓形)膜衣錠,N05CD08,管四非麻醉藥,,管4,外科、診斷過程前的鎮靜給藥和失眠的短期治療(14天以內)。,DORMICUM
DOR04I,Dormicum 5mg/1ml Amp #4,MIDAZOLAM,導眠靜注射劑,N05CD08,管四非麻醉藥,,管4,知覺鎮靜、急救加護病房鎮靜、麻醉誘導及維持、手術前給藥,DORMICUM
DOR04O,Dorison 4mg Tab,DEXAMETHASONE,得立生(白色圓凸形)錠,H02AB02,口服藥,,口服,副腎皮質機能萎縮症、急性風濕性關節炎、支氣管性氣喘、膠原病、急性過敏病、皮膚病,DORISON
DOS01O,Dostinex 0.5mg Tab,CABERGOLINE,過乳降(白色長圓柱形)錠劑,G02CB03,口服藥,,口服,防止及抑制產後乳汁分泌，或治療高泌乳素血症引起的狀況,DOSTINEX
DOX01O,Doxaben 2mg Tab,DOXAZOSIN,可迅(白色長圓柱形)錠劑,C02CA04,口服藥,,口服,高血壓、良性前列腺肥大,DOXABEN
DOX02O,Doxymycin 100mg Ec Cap,DOXYCYCLINE,多喜黴素(明青/深黃長圓柱形)膠囊,J01AA02,口服藥,,口服,革蘭氏陽性菌、陰性菌、立克次氏體及巨型濾過性病毒感染症。,DOXYMYCIN
DOX03O,Doxaben XL 4mg Tab,DOXAZOSIN,可迅(白色圓形)錠劑,C02CA04,口服藥,,口服,高血壓、良性前列腺肥大。,DOXABEN
DOX04O,Doxepin 25mg Cap,DOXEPIN,杜使平(深藍長圓柱形)膠囊,N06AA12,口服藥,,口服,焦慮狀態、憂鬱病,DOXEPIN
